Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Chromium-50 (Z=24 A=50),Predict: R+vx->f,f_Hz,3.6588e-18,1.30407e+22,299792,1.30407e+22,4.09687e+22,1.30407e+22,3.6588e-18,1.14945e-17,3.6588e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 A=50 | Rc=3.6588fm | src=Angeli2013 | BE=435.044MeV
Chromium-52 (Z=24 A=52),Predict: R+vx->f,f_Hz,3.6645e-18,1.30205e+22,299792,1.30205e+22,4.0905e+22,1.30205e+22,3.6645e-18,1.15124e-17,3.6645e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 A=52 | Rc=3.6645fm | src=Angeli2013 | BE=456.347MeV
Chromium-53 (Z=24 A=53),Predict: R+vx->f,f_Hz,3.6737e-18,1.29878e+22,299792,1.29878e+22,4.08025e+22,1.29878e+22,3.6737e-18,1.15413e-17,3.6737e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 A=53 | Rc=3.6737fm | src=Angeli2013 | BE=464.285MeV
Chromium-54 (Z=24 A=54),Predict: R+vx->f,f_Hz,3.6869e-18,1.29413e+22,299792,1.29413e+22,4.06564e+22,1.29413e+22,3.6869e-18,1.15827e-17,3.6869e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 A=54 | Rc=3.6869fm | src=Angeli2013 | BE=474.001MeV
Iron-54 (Z=26 A=54),Predict: R+vx->f,f_Hz,3.6922e-18,1.29228e+22,299792,1.29228e+22,4.05981e+22,1.29228e+22,3.6922e-18,1.15994e-17,3.6922e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=26 A=54 | Rc=3.6922fm | src=Angeli2013 | BE=471.764MeV
Iron-56 (Z=26 A=56),Predict: R+vx->f,f_Hz,3.7377e-18,1.27655e+22,299792,1.27655e+22,4.01039e+22,1.27655e+22,3.7377e-18,1.17423e-17,3.7377e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=26 A=56 | Rc=3.7377fm | src=Angeli2013 | BE=492.262MeV
Iron-57 (Z=26 A=57),Predict: R+vx->f,f_Hz,3.7543e-18,1.2709e+22,299792,1.2709e+22,3.99265e+22,1.2709e+22,3.7543e-18,1.17945e-17,3.7543e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=26 A=57 | Rc=3.7543fm | src=Angeli2013 | BE=499.905MeV
Iron-58 (Z=26 A=58),Predict: R+vx->f,f_Hz,3.7749e-18,1.26397e+22,299792,1.26397e+22,3.97087e+22,1.26397e+22,3.7749e-18,1.18592e-17,3.7749e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=26 A=58 | Rc=3.7749fm | src=Angeli2013 | BE=509.946MeV
Nickel-58 (Z=28 A=58),Predict: R+vx->f,f_Hz,3.7757e-18,1.2637e+22,299792,1.2637e+22,3.97002e+22,1.2637e+22,3.7757e-18,1.18617e-17,3.7757e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=28 A=58 | Rc=3.7757fm | src=Angeli2013 | BE=506.457MeV
Nickel-60 (Z=28 A=60),Predict: R+vx->f,f_Hz,3.8118e-18,1.25173e+22,299792,1.25173e+22,3.93243e+22,1.25173e+22,3.8118e-18,1.19751e-17,3.8118e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=28 A=60 | Rc=3.8118fm | src=Angeli2013 | BE=526.845MeV
Nickel-61 (Z=28 A=61),Predict: R+vx->f,f_Hz,3.814e-18,1.25101e+22,299792,1.25101e+22,3.93016e+22,1.25101e+22,3.814e-18,1.1982e-17,3.814e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=28 A=61 | Rc=3.814fm | src=Angeli2013 | BE=534.656MeV
Nickel-62 (Z=28 A=62),Predict: R+vx->f,f_Hz,3.8344e-18,1.24435e+22,299792,1.24435e+22,3.90925e+22,1.24435e+22,3.8344e-18,1.20461e-17,3.8344e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=28 A=62 | Rc=3.8344fm | src=Angeli2013 | BE=545.26MeV
Nickel-64 (Z=28 A=64),Predict: R+vx->f,f_Hz,3.8525e-18,1.23851e+22,299792,1.23851e+22,3.89088e+22,1.23851e+22,3.8525e-18,1.2103e-17,3.8525e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=28 A=64 | Rc=3.8525fm | src=Angeli2013 | BE=561.756MeV
Copper-63 (Z=29 A=63),Predict: R+vx->f,f_Hz,3.9022e-18,1.22273e+22,299792,1.22273e+22,3.84133e+22,1.22273e+22,3.9022e-18,1.22591e-17,3.9022e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=29 A=63 | Rc=3.9022fm | src=Angeli2013 | BE=551.38MeV
Copper-65 (Z=29 A=65),Predict: R+vx->f,f_Hz,3.9367e-18,1.21202e+22,299792,1.21202e+22,3.80766e+22,1.21202e+22,3.9367e-18,1.23675e-17,3.9367e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=29 A=65 | Rc=3.9367fm | src=Angeli2013 | BE=569.209MeV
Zinc-64 (Z=30 A=64),Predict: R+vx->f,f_Hz,3.929e-18,1.21439e+22,299792,1.21439e+22,3.81512e+22,1.21439e+22,3.929e-18,1.23433e-17,3.929e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=30 A=64 | Rc=3.929fm | src=Angeli2013 | BE=559.1MeV
Zinc-66 (Z=30 A=66),Predict: R+vx->f,f_Hz,3.949e-18,1.20824e+22,299792,1.20824e+22,3.7958e+22,1.20824e+22,3.949e-18,1.24061e-17,3.949e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=30 A=66 | Rc=3.949fm | src=Angeli2013 | BE=578.127MeV
Zinc-68 (Z=30 A=68),Predict: R+vx->f,f_Hz,3.975e-18,1.20034e+22,299792,1.20034e+22,3.77097e+22,1.20034e+22,3.975e-18,1.24878e-17,3.975e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=30 A=68 | Rc=3.975fm | src=Angeli2013 | BE=595.384MeV
Zinc-70 (Z=30 A=70),Predict: R+vx->f,f_Hz,3.995e-18,1.19433e+22,299792,1.19433e+22,3.7521e+22,1.19433e+22,3.995e-18,1.25507e-17,3.995e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=30 A=70 | Rc=3.995fm | src=Angeli2013 | BE=611.085MeV
Germanium-70 (Z=32 A=70),Predict: R+vx->f,f_Hz,4.045e-18,1.17957e+22,299792,1.17957e+22,3.70572e+22,1.17957e+22,4.045e-18,1.27077e-17,4.045e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=32 A=70 | Rc=4.045fm | src=Angeli2013 | BE=610.519MeV
Germanium-72 (Z=32 A=72),Predict: R+vx->f,f_Hz,4.058e-18,1.17579e+22,299792,1.17579e+22,3.69384e+22,1.17579e+22,4.058e-18,1.27486e-17,4.058e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=32 A=72 | Rc=4.058fm | src=Angeli2013 | BE=628.996MeV
Germanium-73 (Z=32 A=73),Predict: R+vx->f,f_Hz,4.0632e-18,1.17428e+22,299792,1.17428e+22,3.68912e+22,1.17428e+22,4.0632e-18,1.27649e-17,4.0632e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=32 A=73 | Rc=4.0632fm | src=Angeli2013 | BE=636.454MeV
Germanium-74 (Z=32 A=74),Predict: R+vx->f,f_Hz,4.0742e-18,1.17111e+22,299792,1.17111e+22,3.67916e+22,1.17111e+22,4.0742e-18,1.27995e-17,4.0742e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=32 A=74 | Rc=4.0742fm | src=Angeli2013 | BE=647.283MeV
Germanium-76 (Z=32 A=76),Predict: R+vx->f,f_Hz,4.0811e-18,1.16913e+22,299792,1.16913e+22,3.67294e+22,1.16913e+22,4.0811e-18,1.28212e-17,4.0811e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=32 A=76 | Rc=4.0811fm | src=Angeli2013 | BE=660.624MeV
Selenium-74 (Z=34 A=74),Predict: R+vx->f,f_Hz,4.075e-18,1.17088e+22,299792,1.17088e+22,3.67844e+22,1.17088e+22,4.075e-18,1.2802e-17,4.075e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=34 A=74 | Rc=4.075fm | src=Angeli2013 | BE=645.503MeV
Selenium-76 (Z=34 A=76),Predict: R+vx->f,f_Hz,4.0993e-18,1.16394e+22,299792,1.16394e+22,3.65663e+22,1.16394e+22,4.0993e-18,1.28783e-17,4.0993e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=34 A=76 | Rc=4.0993fm | src=Angeli2013 | BE=665.318MeV
Selenium-77 (Z=34 A=77),Predict: R+vx->f,f_Hz,4.1009e-18,1.16349e+22,299792,1.16349e+22,3.6552e+22,1.16349e+22,4.1009e-18,1.28834e-17,4.1009e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=34 A=77 | Rc=4.1009fm | src=Angeli2013 | BE=672.974MeV
Selenium-78 (Z=34 A=78),Predict: R+vx->f,f_Hz,4.1115e-18,1.16049e+22,299792,1.16049e+22,3.64578e+22,1.16049e+22,4.1115e-18,1.29167e-17,4.1115e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=34 A=78 | Rc=4.1115fm | src=Angeli2013 | BE=683.371MeV
Selenium-80 (Z=34 A=80),Predict: R+vx->f,f_Hz,4.1281e-18,1.15582e+22,299792,1.15582e+22,3.63112e+22,1.15582e+22,4.1281e-18,1.29688e-17,4.1281e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=34 A=80 | Rc=4.1281fm | src=Angeli2013 | BE=700.907MeV
Selenium-82 (Z=34 A=82),Predict: R+vx->f,f_Hz,4.1361e-18,1.15359e+22,299792,1.15359e+22,3.6241e+22,1.15359e+22,4.1361e-18,1.29939e-17,4.1361e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=34 A=82 | Rc=4.1361fm | src=Angeli2013 | BE=716.956MeV
Krypton-78 (Z=36 A=78),Predict: R+vx->f,f_Hz,4.144e-18,1.15139e+22,299792,1.15139e+22,3.61719e+22,1.15139e+22,4.144e-18,1.30188e-17,4.144e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=36 A=78 | Rc=4.144fm | src=Angeli2013 | BE=686.084MeV
Krypton-80 (Z=36 A=80),Predict: R+vx->f,f_Hz,4.1768e-18,1.14234e+22,299792,1.14234e+22,3.58878e+22,1.14234e+22,4.1768e-18,1.31218e-17,4.1768e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=36 A=80 | Rc=4.1768fm | src=Angeli2013 | BE=704.995MeV
Krypton-82 (Z=36 A=82),Predict: R+vx->f,f_Hz,4.1999e-18,1.13606e+22,299792,1.13606e+22,3.56904e+22,1.13606e+22,4.1999e-18,1.31944e-17,4.1999e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=36 A=82 | Rc=4.1999fm | src=Angeli2013 | BE=724.406MeV
Krypton-83 (Z=36 A=83),Predict: R+vx->f,f_Hz,4.2046e-18,1.13479e+22,299792,1.13479e+22,3.56505e+22,1.13479e+22,4.2046e-18,1.32091e-17,4.2046e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=36 A=83 | Rc=4.2046fm | src=Angeli2013 | BE=732.254MeV
Krypton-84 (Z=36 A=84),Predict: R+vx->f,f_Hz,4.2173e-18,1.13137e+22,299792,1.13137e+22,3.55432e+22,1.13137e+22,4.2173e-18,1.3249e-17,4.2173e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=36 A=84 | Rc=4.2173fm | src=Angeli2013 | BE=742.065MeV
Krypton-86 (Z=36 A=86),Predict: R+vx->f,f_Hz,4.2402e-18,1.12526e+22,299792,1.12526e+22,3.53512e+22,1.12526e+22,4.2402e-18,1.3321e-17,4.2402e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=36 A=86 | Rc=4.2402fm | src=Angeli2013 | BE=757.86MeV
Tin-112 (Z=50 A=112),Predict: R+vx->f,f_Hz,4.5936e-18,1.03869e+22,299792,1.03869e+22,3.26315e+22,1.03869e+22,4.5936e-18,1.44312e-17,4.5936e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=112 | Rc=4.5936fm | src=Angeli2013 | BE=953.529MeV
Tin-114 (Z=50 A=114),Predict: R+vx->f,f_Hz,4.6099e-18,1.03502e+22,299792,1.03502e+22,3.25162e+22,1.03502e+22,4.6099e-18,1.44824e-17,4.6099e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=114 | Rc=4.6099fm | src=Angeli2013 | BE=971.566MeV
Tin-116 (Z=50 A=116),Predict: R+vx->f,f_Hz,4.6262e-18,1.03137e+22,299792,1.03137e+22,3.24016e+22,1.03137e+22,4.6262e-18,1.45336e-17,4.6262e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=116 | Rc=4.6262fm | src=Angeli2013 | BE=988.684MeV
Tin-117 (Z=50 A=117),Predict: R+vx->f,f_Hz,4.634e-18,1.02964e+22,299792,1.02964e+22,3.2347e+22,1.02964e+22,4.634e-18,1.45581e-17,4.634e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=117 | Rc=4.634fm | src=Angeli2013 | BE=997.795MeV
Tin-118 (Z=50 A=118),Predict: R+vx->f,f_Hz,4.6418e-18,1.02791e+22,299792,1.02791e+22,3.22927e+22,1.02791e+22,4.6418e-18,1.45826e-17,4.6418e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=118 | Rc=4.6418fm | src=Angeli2013 | BE=1009.152MeV
Tin-119 (Z=50 A=119),Predict: R+vx->f,f_Hz,4.6492e-18,1.02627e+22,299792,1.02627e+22,3.22413e+22,1.02627e+22,4.6492e-18,1.46059e-17,4.6492e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=119 | Rc=4.6492fm | src=Angeli2013 | BE=1017.977MeV
Tin-120 (Z=50 A=120),Predict: R+vx->f,f_Hz,4.6519e-18,1.02568e+22,299792,1.02568e+22,3.22226e+22,1.02568e+22,4.6519e-18,1.46144e-17,4.6519e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=120 | Rc=4.6519fm | src=Angeli2013 | BE=1020.546MeV
Tin-122 (Z=50 A=122),Predict: R+vx->f,f_Hz,4.6592e-18,1.02407e+22,299792,1.02407e+22,3.21721e+22,1.02407e+22,4.6592e-18,1.46373e-17,4.6592e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=122 | Rc=4.6592fm | src=Angeli2013 | BE=1035.529MeV
Tin-124 (Z=50 A=124),Predict: R+vx->f,f_Hz,4.6732e-18,1.021e+22,299792,1.021e+22,3.20757e+22,1.021e+22,4.6732e-18,1.46813e-17,4.6732e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 A=124 | Rc=4.6732fm | src=Angeli2013 | BE=1049.962MeV
Xenon-124 (Z=54 A=124),Predict: R+vx->f,f_Hz,4.7716e-18,9.99947e+21,299792,9.99947e+21,3.14142e+22,9.99947e+21,4.7716e-18,1.49904e-17,4.7716e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=124 | Rc=4.7716fm | src=Angeli2013 | BE=1060.743MeV
Xenon-126 (Z=54 A=126),Predict: R+vx->f,f_Hz,4.7855e-18,9.97042e+21,299792,9.97042e+21,3.1323e+22,9.97042e+21,4.7855e-18,1.50341e-17,4.7855e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=126 | Rc=4.7855fm | src=Angeli2013 | BE=1076.907MeV
Xenon-128 (Z=54 A=128),Predict: R+vx->f,f_Hz,4.7964e-18,9.94776e+21,299792,9.94776e+21,3.12518e+22,9.94776e+21,4.7964e-18,1.50683e-17,4.7964e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=128 | Rc=4.7964fm | src=Angeli2013 | BE=1092.352MeV
Xenon-129 (Z=54 A=129),Predict: R+vx->f,f_Hz,4.8013e-18,9.93761e+21,299792,9.93761e+21,3.12199e+22,9.93761e+21,4.8013e-18,1.50837e-17,4.8013e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=129 | Rc=4.8013fm | src=Angeli2013 | BE=1100.437MeV
Xenon-130 (Z=54 A=130),Predict: R+vx->f,f_Hz,4.8021e-18,9.93596e+21,299792,9.93596e+21,3.12147e+22,9.93596e+21,4.8021e-18,1.50862e-17,4.8021e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=130 | Rc=4.8021fm | src=Angeli2013 | BE=1110.48MeV
Xenon-131 (Z=54 A=131),Predict: R+vx->f,f_Hz,4.8134e-18,9.91263e+21,299792,9.91263e+21,3.11414e+22,9.91263e+21,4.8134e-18,1.51217e-17,4.8134e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=131 | Rc=4.8134fm | src=Angeli2013 | BE=1118.26MeV
Xenon-132 (Z=54 A=132),Predict: R+vx->f,f_Hz,4.8157e-18,9.9079e+21,299792,9.9079e+21,3.11266e+22,9.9079e+21,4.8157e-18,1.5129e-17,4.8157e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=132 | Rc=4.8157fm | src=Angeli2013 | BE=1123.28MeV
Xenon-134 (Z=54 A=134),Predict: R+vx->f,f_Hz,4.8223e-18,9.89433e+21,299792,9.89433e+21,3.1084e+22,9.89433e+21,4.8223e-18,1.51497e-17,4.8223e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=134 | Rc=4.8223fm | src=Angeli2013 | BE=1133.4MeV
Xenon-136 (Z=54 A=136),Predict: R+vx->f,f_Hz,4.8335e-18,9.87141e+21,299792,9.87141e+21,3.10119e+22,9.87141e+21,4.8335e-18,1.51849e-17,4.8335e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 A=136 | Rc=4.8335fm | src=Angeli2013 | BE=1141.9MeV
Lead-204 (Z=82 A=204),Predict: R+vx->f,f_Hz,5.4744e-18,8.71574e+21,299792,8.71574e+21,2.73813e+22,8.71574e+21,5.4744e-18,1.71983e-17,5.4744e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=82 A=204 | Rc=5.4744fm | src=Angeli2013 | BE=1607.518MeV
Lead-206 (Z=82 A=206),Predict: R+vx->f,f_Hz,5.4939e-18,8.68481e+21,299792,8.68481e+21,2.72841e+22,8.68481e+21,5.4939e-18,1.72596e-17,5.4939e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=82 A=206 | Rc=5.4939fm | src=Angeli2013 | BE=1622.327MeV
Lead-207 (Z=82 A=207),Predict: R+vx->f,f_Hz,5.4943e-18,8.68417e+21,299792,8.68417e+21,2.72821e+22,8.68417e+21,5.4943e-18,1.72609e-17,5.4943e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=82 A=207 | Rc=5.4943fm | src=Angeli2013 | BE=1629.079MeV
