Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Nitrogen-14 (Z=7 A=14),Predict: R+vx->f,f_Hz,2.5582e-18,1.86512e+22,299792,1.86512e+22,5.85944e+22,1.86512e+22,2.5582e-18,8.03682e-18,2.5582e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 A=14 | Rc=2.5582fm | src=Angeli2013 | BE=104.659MeV
Nitrogen-15 (Z=7 A=15),Predict: R+vx->f,f_Hz,2.601e-18,1.83443e+22,299792,1.83443e+22,5.76302e+22,1.83443e+22,2.601e-18,8.17128e-18,2.601e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 A=15 | Rc=2.601fm | src=Angeli2013 | BE=115.492MeV
Oxygen-16 (Z=8 A=16),Predict: R+vx->f,f_Hz,2.6991e-18,1.76775e+22,299792,1.76775e+22,5.55356e+22,1.76775e+22,2.6991e-18,8.47947e-18,2.6991e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=16 | Rc=2.6991fm | src=Angeli2013 | BE=127.619MeV
Oxygen-17 (Z=8 A=17),Predict: R+vx->f,f_Hz,2.6931e-18,1.77169e+22,299792,1.77169e+22,5.56594e+22,1.77169e+22,2.6931e-18,8.46062e-18,2.6931e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=17 | Rc=2.6931fm | src=Angeli2013 | BE=131.763MeV
Oxygen-18 (Z=8 A=18),Predict: R+vx->f,f_Hz,2.7726e-18,1.72089e+22,299792,1.72089e+22,5.40634e+22,1.72089e+22,2.7726e-18,8.71038e-18,2.7726e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=18 | Rc=2.7726fm | src=Angeli2013 | BE=139.808MeV
Fluorine-19 (Z=9 A=19),Predict: R+vx->f,f_Hz,2.8976e-18,1.64665e+22,299792,1.64665e+22,5.17312e+22,1.64665e+22,2.8976e-18,9.10308e-18,2.8976e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=9 A=19 | Rc=2.8976fm | src=Angeli2013 | BE=147.801MeV
Neon-20 (Z=10 A=20),Predict: R+vx->f,f_Hz,2.9936e-18,1.59385e+22,299792,1.59385e+22,5.00722e+22,1.59385e+22,2.9936e-18,9.40467e-18,2.9936e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=20 | Rc=2.9936fm | src=Angeli2013 | BE=160.645MeV
Neon-21 (Z=10 A=21),Predict: R+vx->f,f_Hz,2.9587e-18,1.61265e+22,299792,1.61265e+22,5.06629e+22,1.61265e+22,2.9587e-18,9.29503e-18,2.9587e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=21 | Rc=2.9587fm | src=Angeli2013 | BE=167.406MeV
Neon-22 (Z=10 A=22),Predict: R+vx->f,f_Hz,3.0055e-18,1.58754e+22,299792,1.58754e+22,4.9874e+22,1.58754e+22,3.0055e-18,9.44206e-18,3.0055e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=22 | Rc=3.0055fm | src=Angeli2013 | BE=177.77MeV
Sodium-23 (Z=11 A=23),Predict: R+vx->f,f_Hz,2.9936e-18,1.59385e+22,299792,1.59385e+22,5.00722e+22,1.59385e+22,2.9936e-18,9.40467e-18,2.9936e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=11 A=23 | Rc=2.9936fm | src=Angeli2013 | BE=186.564MeV
