Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Iron-57 (Z=26 A=57),Map:     f+R->vx,vx_kms,3.7543e-18,1.20876e+23,2.85135e+06,1.20876e+23,3.79745e+23,1.20876e+23,3.7543e-18,1.17945e-17,3.7543e-18,2.85135e+06,907613,2.85135e+06,100,31.831,100,100,31.831,100,100,314.159,100,torus,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.10514,unresolved nearest=1 (89.5%),C1,Z=26 A=57 | Rc=3.7543fm | src=Angeli2013 | BE=499.905MeV
Iron-58 (Z=26 A=58),Map:     f+R->vx,vx_kms,3.7749e-18,1.23304e+23,2.92458e+06,1.23304e+23,3.87372e+23,1.23304e+23,3.7749e-18,1.18592e-17,3.7749e-18,2.92458e+06,930924,2.92458e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.102508,unresolved nearest=1 (89.7%),C1,Z=26 A=58 | Rc=3.7749fm | src=Angeli2013 | BE=509.946MeV
Nickel-58 (Z=28 A=58),Map:     f+R->vx,vx_kms,3.7757e-18,1.22461e+23,2.90519e+06,1.22461e+23,3.84722e+23,1.22461e+23,3.7757e-18,1.18617e-17,3.7757e-18,2.90519e+06,924750,2.90519e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.103192,unresolved nearest=1 (89.7%),C1,Z=28 A=58 | Rc=3.7757fm | src=Angeli2013 | BE=506.457MeV
Nickel-60 (Z=28 A=60),Map:     f+R->vx,vx_kms,3.8118e-18,1.27391e+23,3.05104e+06,1.27391e+23,4.00209e+23,1.27391e+23,3.8118e-18,1.19751e-17,3.8118e-18,3.05104e+06,971175,3.05104e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0982593,unresolved nearest=1 (90.2%),C1,Z=28 A=60 | Rc=3.8118fm | src=Angeli2013 | BE=526.845MeV
Nickel-61 (Z=28 A=61),Map:     f+R->vx,vx_kms,3.814e-18,1.29279e+23,3.09806e+06,1.29279e+23,4.06143e+23,1.29279e+23,3.814e-18,1.1982e-17,3.814e-18,3.09806e+06,986142,3.09806e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0967679,unresolved nearest=1 (90.3%),C1,Z=28 A=61 | Rc=3.814fm | src=Angeli2013 | BE=534.656MeV
Nickel-62 (Z=28 A=62),Map:     f+R->vx,vx_kms,3.8344e-18,1.31843e+23,3.1764e+06,1.31843e+23,4.14198e+23,1.31843e+23,3.8344e-18,1.20461e-17,3.8344e-18,3.1764e+06,1.01108e+06,3.1764e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0943812,unresolved nearest=1 (90.6%),C1,Z=28 A=62 | Rc=3.8344fm | src=Angeli2013 | BE=545.26MeV
Nickel-64 (Z=28 A=64),Map:     f+R->vx,vx_kms,3.8525e-18,1.35832e+23,3.28795e+06,1.35832e+23,4.26729e+23,1.35832e+23,3.8525e-18,1.2103e-17,3.8525e-18,3.28795e+06,1.04659e+06,3.28795e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0911793,unresolved nearest=1 (90.9%),C1,Z=28 A=64 | Rc=3.8525fm | src=Angeli2013 | BE=561.756MeV
Copper-63 (Z=29 A=63),Map:     f+R->vx,vx_kms,3.9022e-18,1.33323e+23,3.26885e+06,1.33323e+23,4.18847e+23,1.33323e+23,3.9022e-18,1.22591e-17,3.9022e-18,3.26885e+06,1.04051e+06,3.26885e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.091712,unresolved nearest=1 (90.8%),C1,Z=29 A=63 | Rc=3.9022fm | src=Angeli2013 | BE=551.38MeV
Copper-65 (Z=29 A=65),Map:     f+R->vx,vx_kms,3.9367e-18,1.37634e+23,3.40438e+06,1.37634e+23,4.3239e+23,1.37634e+23,3.9367e-18,1.23675e-17,3.9367e-18,3.40438e+06,1.08365e+06,3.40438e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0880608,unresolved nearest=1 (91.2%),C1,Z=29 A=65 | Rc=3.9367fm | src=Angeli2013 | BE=569.209MeV
Zinc-64 (Z=30 A=64),Map:     f+R->vx,vx_kms,3.929e-18,1.3519e+23,3.33738e+06,1.3519e+23,4.24711e+23,1.3519e+23,3.929e-18,1.23433e-17,3.929e-18,3.33738e+06,1.06232e+06,3.33738e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0898287,unresolved nearest=1 (91.0%),C1,Z=30 A=64 | Rc=3.929fm | src=Angeli2013 | BE=559.1MeV
