Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Tin-112 (Z=50 A=112),Map:     f+R->vx,vx_kms,4.5936e-18,2.30562e+23,6.65459e+06,2.30562e+23,7.24333e+23,2.30562e+23,4.5936e-18,1.44312e-17,4.5936e-18,6.65459e+06,2.11822e+06,6.65459e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0450505,unresolved nearest=1 (95.5%),C1,Z=50 A=112 | Rc=4.5936fm | src=Angeli2013 | BE=953.529MeV
Tin-114 (Z=50 A=114),Map:     f+R->vx,vx_kms,4.6099e-18,2.34924e+23,6.80453e+06,2.34924e+23,7.38034e+23,2.34924e+23,4.6099e-18,1.44824e-17,4.6099e-18,6.80453e+06,2.16595e+06,6.80453e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0440578,unresolved nearest=1 (95.6%),C1,Z=50 A=114 | Rc=4.6099fm | src=Angeli2013 | BE=971.566MeV
Tin-116 (Z=50 A=116),Map:     f+R->vx,vx_kms,4.6262e-18,2.39063e+23,6.9489e+06,2.39063e+23,7.51038e+23,2.39063e+23,4.6262e-18,1.45336e-17,4.6262e-18,6.9489e+06,2.2119e+06,6.9489e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0431424,unresolved nearest=1 (95.7%),C1,Z=50 A=116 | Rc=4.6262fm | src=Angeli2013 | BE=988.684MeV
Tin-117 (Z=50 A=117),Map:     f+R->vx,vx_kms,4.634e-18,2.41266e+23,7.02476e+06,2.41266e+23,7.57959e+23,2.41266e+23,4.634e-18,1.45581e-17,4.634e-18,7.02476e+06,2.23605e+06,7.02476e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0426765,unresolved nearest=1 (95.7%),C1,Z=50 A=117 | Rc=4.634fm | src=Angeli2013 | BE=997.795MeV
Tin-118 (Z=50 A=118),Map:     f+R->vx,vx_kms,4.6418e-18,2.44012e+23,7.11668e+06,2.44012e+23,7.66586e+23,2.44012e+23,4.6418e-18,1.45826e-17,4.6418e-18,7.11668e+06,2.26531e+06,7.11668e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0421253,unresolved nearest=1 (95.8%),C1,Z=50 A=118 | Rc=4.6418fm | src=Angeli2013 | BE=1009.152MeV
Tin-119 (Z=50 A=119),Map:     f+R->vx,vx_kms,4.6492e-18,2.46146e+23,7.19036e+06,2.46146e+23,7.7329e+23,2.46146e+23,4.6492e-18,1.46059e-17,4.6492e-18,7.19036e+06,2.28876e+06,7.19036e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0416937,unresolved nearest=1 (95.8%),C1,Z=50 A=119 | Rc=4.6492fm | src=Angeli2013 | BE=1017.977MeV
Tin-120 (Z=50 A=120),Map:     f+R->vx,vx_kms,4.6519e-18,2.46767e+23,7.21269e+06,2.46767e+23,7.75241e+23,2.46767e+23,4.6519e-18,1.46144e-17,4.6519e-18,7.21269e+06,2.29587e+06,7.21269e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0415646,unresolved nearest=1 (95.8%),C1,Z=50 A=120 | Rc=4.6519fm | src=Angeli2013 | BE=1020.546MeV
Tin-122 (Z=50 A=122),Map:     f+R->vx,vx_kms,4.6592e-18,2.5039e+23,7.33007e+06,2.5039e+23,7.86623e+23,2.5039e+23,4.6592e-18,1.46373e-17,4.6592e-18,7.33007e+06,2.33323e+06,7.33007e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.040899,unresolved nearest=1 (95.9%),C1,Z=50 A=122 | Rc=4.6592fm | src=Angeli2013 | BE=1035.529MeV
Tin-124 (Z=50 A=124),Map:     f+R->vx,vx_kms,4.6732e-18,2.5388e+23,7.45456e+06,2.5388e+23,7.97587e+23,2.5388e+23,4.6732e-18,1.46813e-17,4.6732e-18,7.45456e+06,2.37286e+06,7.45456e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.040216,unresolved nearest=1 (96.0%),C1,Z=50 A=124 | Rc=4.6732fm | src=Angeli2013 | BE=1049.962MeV
Xenon-124 (Z=54 A=124),Map:     f+R->vx,vx_kms,4.7716e-18,2.56487e+23,7.68968e+06,2.56487e+23,8.05776e+23,2.56487e+23,4.7716e-18,1.49904e-17,4.7716e-18,7.68968e+06,2.4477e+06,7.68968e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0389863,unresolved nearest=1 (96.1%),C1,Z=54 A=124 | Rc=4.7716fm | src=Angeli2013 | BE=1060.743MeV
Xenon-126 (Z=54 A=126),Map:     f+R->vx,vx_kms,4.7855e-18,2.60395e+23,7.8296e+06,2.60395e+23,8.18055e+23,2.60395e+23,4.7855e-18,1.50341e-17,4.7855e-18,7.8296e+06,2.49224e+06,7.8296e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0382896,unresolved nearest=1 (96.2%),C1,Z=54 A=126 | Rc=4.7855fm | src=Angeli2013 | BE=1076.907MeV
Xenon-128 (Z=54 A=128),Map:     f+R->vx,vx_kms,4.7964e-18,2.6413e+23,7.95998e+06,2.6413e+23,8.29787e+23,2.6413e+23,4.7964e-18,1.50683e-17,4.7964e-18,7.95998e+06,2.53374e+06,7.95998e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0376624,unresolved nearest=1 (96.2%),C1,Z=54 A=128 | Rc=4.7964fm | src=Angeli2013 | BE=1092.352MeV
Xenon-129 (Z=54 A=129),Map:     f+R->vx,vx_kms,4.8013e-18,2.66084e+23,8.02709e+06,2.66084e+23,8.35929e+23,2.66084e+23,4.8013e-18,1.50837e-17,4.8013e-18,8.02709e+06,2.5551e+06,8.02709e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0373476,unresolved nearest=1 (96.3%),C1,Z=54 A=129 | Rc=4.8013fm | src=Angeli2013 | BE=1100.437MeV
Xenon-130 (Z=54 A=130),Map:     f+R->vx,vx_kms,4.8021e-18,2.68513e+23,8.1017e+06,2.68513e+23,8.43558e+23,2.68513e+23,4.8021e-18,1.50862e-17,4.8021e-18,8.1017e+06,2.57885e+06,8.1017e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0370036,unresolved nearest=1 (96.3%),C1,Z=54 A=130 | Rc=4.8021fm | src=Angeli2013 | BE=1110.48MeV
Xenon-131 (Z=54 A=131),Map:     f+R->vx,vx_kms,4.8134e-18,2.70394e+23,8.17766e+06,2.70394e+23,8.49468e+23,2.70394e+23,4.8134e-18,1.51217e-17,4.8134e-18,8.17766e+06,2.60303e+06,8.17766e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0366599,unresolved nearest=1 (96.3%),C1,Z=54 A=131 | Rc=4.8134fm | src=Angeli2013 | BE=1118.26MeV
Xenon-132 (Z=54 A=132),Map:     f+R->vx,vx_kms,4.8157e-18,2.71608e+23,8.21829e+06,2.71608e+23,8.53281e+23,2.71608e+23,4.8157e-18,1.5129e-17,4.8157e-18,8.21829e+06,2.61596e+06,8.21829e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0364787,unresolved nearest=1 (96.4%),C1,Z=54 A=132 | Rc=4.8157fm | src=Angeli2013 | BE=1123.28MeV
Xenon-134 (Z=54 A=134),Map:     f+R->vx,vx_kms,4.8223e-18,2.74055e+23,8.3037e+06,2.74055e+23,8.60969e+23,2.74055e+23,4.8223e-18,1.51497e-17,4.8223e-18,8.3037e+06,2.64315e+06,8.3037e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0361035,unresolved nearest=1 (96.4%),C1,Z=54 A=134 | Rc=4.8223fm | src=Angeli2013 | BE=1133.4MeV
Xenon-136 (Z=54 A=136),Map:     f+R->vx,vx_kms,4.8335e-18,2.7611e+23,8.3854e+06,2.7611e+23,8.67426e+23,2.7611e+23,4.8335e-18,1.51849e-17,4.8335e-18,8.3854e+06,2.66916e+06,8.3854e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0357517,unresolved nearest=1 (96.4%),C1,Z=54 A=136 | Rc=4.8335fm | src=Angeli2013 | BE=1141.9MeV
Lead-204 (Z=82 A=204),Map:     f+R->vx,vx_kms,5.4744e-18,3.88696e+23,1.33699e+07,3.88696e+23,1.22112e+24,3.88696e+23,5.4744e-18,1.71983e-17,5.4744e-18,1.33699e+07,4.25576e+06,1.33699e+07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.022423,unresolved nearest=1 (97.8%),C1,Z=82 A=204 | Rc=5.4744fm | src=Angeli2013 | BE=1607.518MeV
Lead-206 (Z=82 A=206),Map:     f+R->vx,vx_kms,5.4939e-18,3.92277e+23,1.35411e+07,3.92277e+23,1.23237e+24,3.92277e+23,5.4939e-18,1.72596e-17,5.4939e-18,1.35411e+07,4.31026e+06,1.35411e+07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0221395,unresolved nearest=1 (97.8%),C1,Z=82 A=206 | Rc=5.4939fm | src=Angeli2013 | BE=1622.327MeV
Lead-207 (Z=82 A=207),Map:     f+R->vx,vx_kms,5.4943e-18,3.9391e+23,1.35984e+07,3.9391e+23,1.2375e+24,3.9391e+23,5.4943e-18,1.72609e-17,5.4943e-18,1.35984e+07,4.32851e+06,1.35984e+07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0220461,unresolved nearest=1 (97.8%),C1,Z=82 A=207 | Rc=5.4943fm | src=Angeli2013 | BE=1629.079MeV
Lead-208 (Z=82 A=208),Map:     f+R->vx,vx_kms,5.5012e-18,3.95691e+23,1.36771e+07,3.95691e+23,1.2431e+24,3.95691e+23,5.5012e-18,1.72825e-17,5.5012e-18,1.36771e+07,4.35355e+06,1.36771e+07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0219193,unresolved nearest=1 (97.8%),C1,Z=82 A=208 | Rc=5.5012fm | src=Angeli2013 | BE=1636.446MeV
Uranium-235 (Z=92 A=235),Map:     f+R->vx,vx_kms,5.8337e-18,4.31338e+23,1.58104e+07,4.31338e+23,1.35509e+24,4.31338e+23,5.8337e-18,1.83271e-17,5.8337e-18,1.58104e+07,5.03259e+06,1.58104e+07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0189618,unresolved nearest=1 (98.1%),C1,Z=92 A=235 | Rc=5.8337fm | src=Angeli2013 | BE=1783.87MeV
Uranium-238 (Z=92 A=238),Map:     f+R->vx,vx_kms,5.8571e-18,4.35648e+23,1.60324e+07,4.35648e+23,1.36863e+24,4.35648e+23,5.8571e-18,1.84006e-17,5.8571e-18,1.60324e+07,5.10327e+06,1.60324e+07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.0186992,unresolved nearest=1 (98.1%),C1,Z=92 A=238 | Rc=5.8571fm | src=Angeli2013 | BE=1801.697MeV
