Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,T1_Cl_Summary,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Lithium-Plus-Plus (Li2+),Map:     f+R->vx,vx_kms,1.76e-14,2.95962e+16,3272.87,2.95962e+16,9.29792e+16,2.95962e+16,1.76e-14,5.5292e-14,1.76e-14,3272.87,1041.79,3272.87,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,91.5993,phi^9 (err=20.50%),C1,Hydrogen-like Li2+: R=Bohr/3; IE=9*13.6=122.4eV
H-minus ion,Map:     f+R->vx,vx_kms,7.7e-14,1.82316e+14,88.2056,1.82316e+14,5.72764e+14,1.82316e+14,7.7e-14,2.41903e-13,7.7e-14,88.2056,28.0767,88.2056,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,3398.79,unresolved nearest=6pi^5 (85.1%),C1,Hydrogen anion bound state R~77pm electron affinity 0.754eV
Sun (photosphere boundary),ERROR,TVP v1.9 requires at least 2 of 3 focal variables. Got 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun coherence boundary at f=2.45GHz,Predict: R+vx->f,f_Hz,696340,559.97,2.45e+09,559.97,1759.2,559.97,696340,2.18762e+06,696340,2.45e+09,7.79859e+08,2.45e+09,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Sun R + WiFi resonance test - what vx makes Sun close at 2.45GHz
Earth core boundary,ERROR,TVP v1.9 requires at least 2 of 3 focal variables. Got 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth at PCF 7.4892 Hz,Map:     f+R->vx,vx_kms,6371,7.4892,299794,7.4892,23.528,7.4892,6371,20015.1,6371,299794,95427.4,299794,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.999995,1 (err=0.00%),00,Canonical PCF for Earth - vacuum-ref input
Mars at predicted PCF,Map:     f+R->vx,vx_kms,3390,14.07,299691,14.07,44.2022,14.07,3390,10650,3390,299691,95394.6,299691,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1.00034,1 (err=0.03%),00,Canonical Mars PCF prediction R=3390km f=14.07Hz
Moon at predicted PCF,Map:     f+R->vx,vx_kms,1737,27.47,299805,27.47,86.2996,27.47,1737,5456.95,1737,299805,95430.8,299805,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.999959,1 (err=0.00%),00,Lunar PCF: f = c/(2pi*R*1000m) but in km units = 47713/1737
Jupiter at predicted PCF,Map:     f+R->vx,vx_kms,69911,0.6826,299841,0.6826,2.14445,0.6826,69911,219632,69911,299841,95442.5,299841,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.999837,1 (err=0.02%),00,Jovian PCF: K_psim/R = 47713.45/69911
Neutron Star (canonical 10 km),ERROR,TVP v1.9 requires at least 2 of 3 focal variables. Got 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutron Star at vacuum c,Predict: R+vx->f,f_Hz,10,4771.35,299792,4771.35,14989.6,4771.35,10,31.4159,10,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Predict mode: NS at vacuum reference
Crab Pulsar (R=10km),Map:     f+R->vx,vx_kms,10,29.947,1881.63,29.947,94.0813,29.947,10,31.4159,10,1881.63,598.94,1881.63,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,159.326,1/alpha (err=16.27%),00,Map mode: R=10km f=29.947Hz canonical neutron star
Crab Pulsar at actual R,Map:     f+R->vx,vx_kms,11.62,29.947,2186.45,29.947,94.0813,29.947,11.62,36.5053,11.62,2186.45,695.968,2186.45,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,137.114,1/alpha (err=0.06%),00,Map mode at AG-determined R=11.62km giving 137.0
White Dwarf Sirius B,Predict: R+vx->f,f_Hz,5840,8.17011,299792,8.17011,25.6672,8.17011,5840,18346.9,5840,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Predict mode: WD R=5840km vacuum ref
