Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Tin (Sn Z=50),Map:     f+R->vx,vx_kms,1.39e-13,1.77575e+15,1550.87,1.77575e+15,5.57867e+15,1.77575e+15,1.39e-13,4.36681e-13,1.39e-13,1550.87,493.658,1550.87,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,193.306,pi/(2alpha) (err=10.20%),C1,Z=50 | Cov=139pm | geo=measured | IE=7.3439eV
Antimony (Sb Z=51),Map:     f+R->vx,vx_kms,1.39e-13,2.0815e+15,1817.91,2.0815e+15,6.53923e+15,2.0815e+15,1.39e-13,4.36681e-13,1.39e-13,1817.91,578.658,1817.91,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,164.911,1/alpha (err=20.34%),C1,Z=51 | Cov=139pm | geo=measured | IE=8.6084eV
Tellurium (Te Z=52),Map:     f+R->vx,vx_kms,1.38e-13,2.17851e+15,1888.94,2.17851e+15,6.844e+15,2.17851e+15,1.38e-13,4.3354e-13,1.38e-13,1888.94,601.269,1888.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,158.709,1/alpha (err=15.82%),C1,Z=52 | Cov=138pm | geo=measured | IE=9.0096eV
Iodine (I Z=53),Map:     f+R->vx,vx_kms,1.39e-13,2.52711e+15,2207.09,2.52711e+15,7.93916e+15,2.52711e+15,1.39e-13,4.36681e-13,1.39e-13,2207.09,702.537,2207.09,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,135.832,1/alpha (err=0.88%),C1,Z=53 | Cov=139pm | geo=measured | IE=10.4513eV
Xenon (Xe Z=54),Map:     f+R->vx,vx_kms,1.4e-13,2.93297e+15,2579.98,2.93297e+15,9.21421e+15,2.93297e+15,1.4e-13,4.39823e-13,1.4e-13,2579.98,821.232,2579.98,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,116.2,1/alpha (err=15.21%),C1,Z=54 | Cov=140pm | geo=measured | IE=12.1298eV
Cesium (Cs Z=55),Map:     f+R->vx,vx_kms,2.44e-13,9.41541e+14,1443.47,9.41541e+14,2.95794e+15,9.41541e+14,2.44e-13,7.66549e-13,2.44e-13,1443.47,459.472,1443.47,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,207.688,pi/(2alpha) (err=3.52%),C1,Z=55 | Cov=244pm | geo=measured | IE=3.8939eV
Barium (Ba Z=56),Map:     f+R->vx,vx_kms,2.15e-13,1.26018e+15,1702.36,1.26018e+15,3.95898e+15,1.26018e+15,2.15e-13,6.75442e-13,2.15e-13,1702.36,541.879,1702.36,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,176.104,pi/(2alpha) (err=18.19%),C1,Z=56 | Cov=215pm | geo=measured | IE=5.2117eV
Lanthanum (La Z=57),Map:     f+R->vx,vx_kms,2.07e-13,1.34849e+15,1753.87,1.34849e+15,4.2364e+15,1.34849e+15,2.07e-13,6.5031e-13,2.07e-13,1753.87,558.274,1753.87,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,170.932,pi/(2alpha) (err=20.59%),C1,Z=57 | Cov=207pm | geo=measured | IE=5.5769eV
Cerium (Ce Z=58),Map:     f+R->vx,vx_kms,2.04e-13,1.33925e+15,1716.61,1.33925e+15,4.20738e+15,1.33925e+15,2.04e-13,6.40885e-13,2.04e-13,1716.61,546.415,1716.61,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,174.642,pi/(2alpha) (err=18.87%),C1,Z=58 | Cov=204pm | geo=measured | IE=5.5387eV
Praseodymium (Pr Z=59),Map:     f+R->vx,vx_kms,2.03e-13,1.32337e+15,1687.94,1.32337e+15,4.15748e+15,1.32337e+15,2.03e-13,6.37743e-13,2.03e-13,1687.94,537.286,1687.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,177.609,pi/(2alpha) (err=17.49%),C1,Z=59 | Cov=203pm | geo=measured | IE=5.473eV
Neodymium (Nd Z=60),Map:     f+R->vx,vx_kms,2.01e-13,1.33594e+15,1687.18,1.33594e+15,4.19698e+15,1.33594e+15,2.01e-13,6.3146e-13,2.01e-13,1687.18,537.048,1687.18,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,177.688,pi/(2alpha) (err=17.45%),C1,Z=60 | Cov=201pm | geo=measured | IE=5.525eV
Promethium (Pm Z=61),Map:     f+R->vx,vx_kms,1.99e-13,1.34972e+15,1687.63,1.34972e+15,4.24028e+15,1.34972e+15,1.99e-13,6.25177e-13,1.99e-13,1687.63,537.189,1687.63,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,177.641,pi/(2alpha) (err=17.47%),C1,Z=61 | Cov=199pm | geo=measured | IE=5.582eV
Samarium (Sm Z=62),Map:     f+R->vx,vx_kms,1.98e-13,1.36464e+15,1697.71,1.36464e+15,4.28714e+15,1.36464e+15,1.98e-13,6.22035e-13,1.98e-13,1697.71,540.398,1697.71,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,176.586,pi/(2alpha) (err=17.96%),C1,Z=62 | Cov=198pm | geo=measured | IE=5.6437eV
Europium (Eu Z=63),Map:     f+R->vx,vx_kms,1.98e-13,1.3711e+15,1705.74,1.3711e+15,4.30743e+15,1.3711e+15,1.98e-13,6.22035e-13,1.98e-13,1705.74,542.954,1705.74,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,175.755,pi/(2alpha) (err=18.35%),C1,Z=63 | Cov=198pm | geo=measured | IE=5.6704eV
Gadolinium (Gd Z=64),Map:     f+R->vx,vx_kms,1.96e-13,1.48702e+15,1831.27,1.48702e+15,4.6716e+15,1.48702e+15,1.96e-13,6.15752e-13,1.96e-13,1831.27,582.91,1831.27,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,163.708,1/alpha (err=19.46%),C1,Z=64 | Cov=196pm | geo=measured | IE=6.1498eV
Terbium (Tb Z=65),Map:     f+R->vx,vx_kms,1.94e-13,1.41786e+15,1728.28,1.41786e+15,4.45434e+15,1.41786e+15,1.94e-13,6.09469e-13,1.94e-13,1728.28,550.13,1728.28,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,173.462,pi/(2alpha) (err=19.42%),C1,Z=65 | Cov=194pm | geo=measured | IE=5.8638eV
Dysprosium (Dy Z=66),Map:     f+R->vx,vx_kms,1.92e-13,1.43602e+15,1732.37,1.43602e+15,4.51139e+15,1.43602e+15,1.92e-13,6.03186e-13,1.92e-13,1732.37,551.432,1732.37,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,173.053,pi/(2alpha) (err=19.61%),C1,Z=66 | Cov=192pm | geo=measured | IE=5.9389eV
Holmium (Ho Z=67),Map:     f+R->vx,vx_kms,1.92e-13,1.45599e+15,1756.47,1.45599e+15,4.57413e+15,1.45599e+15,1.92e-13,6.03186e-13,1.92e-13,1756.47,559.101,1756.47,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,170.679,pi/(2alpha) (err=20.71%),C1,Z=67 | Cov=192pm | geo=measured | IE=6.0215eV
Erbium (Er Z=68),Map:     f+R->vx,vx_kms,1.89e-13,1.47684e+15,1753.77,1.47684e+15,4.63961e+15,1.47684e+15,1.89e-13,5.93761e-13,1.89e-13,1753.77,558.244,1753.77,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,170.941,pi/(2alpha) (err=20.59%),C1,Z=68 | Cov=189pm | geo=measured | IE=6.1077eV
Thulium (Tm Z=69),Map:     f+R->vx,vx_kms,1.9e-13,1.49536e+15,1785.17,1.49536e+15,4.6978e+15,1.49536e+15,1.9e-13,5.96903e-13,1.9e-13,1785.17,568.236,1785.17,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,167.935,pi/(2alpha) (err=21.98%),C1,Z=69 | Cov=190pm | geo=measured | IE=6.1843eV
Ytterbium (Yb Z=70),Map:     f+R->vx,vx_kms,1.87e-13,1.51226e+15,1776.84,1.51226e+15,4.7509e+15,1.51226e+15,1.87e-13,5.87478e-13,1.87e-13,1776.84,565.585,1776.84,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,168.723,pi/(2alpha) (err=21.62%),C1,Z=70 | Cov=187pm | geo=measured | IE=6.2542eV
Lutetium (Lu Z=71),Map:     f+R->vx,vx_kms,1.87e-13,1.31198e+15,1541.51,1.31198e+15,4.1217e+15,1.31198e+15,1.87e-13,5.87478e-13,1.87e-13,1541.51,490.679,1541.51,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,194.479,pi/(2alpha) (err=9.65%),C1,Z=71 | Cov=187pm | geo=measured | IE=5.4259eV
Hafnium (Hf Z=72),Map:     f+R->vx,vx_kms,1.75e-13,1.6503e+15,1814.6,1.6503e+15,5.18458e+15,1.6503e+15,1.75e-13,5.49779e-13,1.75e-13,1814.6,577.606,1814.6,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,165.211,1/alpha (err=20.56%),C1,Z=72 | Cov=175pm | geo=measured | IE=6.8251eV
Tantalum (Ta Z=73),Map:     f+R->vx,vx_kms,1.7e-13,1.82549e+15,1949.88,1.82549e+15,5.73493e+15,1.82549e+15,1.7e-13,5.34071e-13,1.7e-13,1949.88,620.665,1949.88,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,153.749,1/alpha (err=12.20%),C1,Z=73 | Cov=170pm | geo=measured | IE=7.5496eV
Tungsten (W Z=74),Map:     f+R->vx,vx_kms,1.62e-13,1.90151e+15,1935.5,1.90151e+15,5.97376e+15,1.90151e+15,1.62e-13,5.08938e-13,1.62e-13,1935.5,616.088,1935.5,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,154.892,1/alpha (err=13.03%),C1,Z=74 | Cov=162pm | geo=measured | IE=7.864eV
Rhenium (Re Z=75),Map:     f+R->vx,vx_kms,1.51e-13,1.89413e+15,1797.08,1.89413e+15,5.95059e+15,1.89413e+15,1.51e-13,4.7438e-13,1.51e-13,1797.08,572.028,1797.08,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,166.822,1/alpha (err=21.74%),C1,Z=75 | Cov=151pm | geo=measured | IE=7.8335eV
Osmium (Os Z=76),Map:     f+R->vx,vx_kms,1.44e-13,2.04035e+15,1846.06,2.04035e+15,6.40994e+15,2.04035e+15,1.44e-13,4.52389e-13,1.44e-13,1846.06,587.62,1846.06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,162.396,1/alpha (err=18.51%),C1,Z=76 | Cov=144pm | geo=measured | IE=8.4382eV
Iridium (Ir Z=77),Map:     f+R->vx,vx_kms,1.41e-13,2.16821e+15,1920.88,2.16821e+15,6.81164e+15,2.16821e+15,1.41e-13,4.42965e-13,1.41e-13,1920.88,611.435,1920.88,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,156.07,1/alpha (err=13.89%),C1,Z=77 | Cov=141pm | geo=measured | IE=8.967eV
Platinum (Pt Z=78),Map:     f+R->vx,vx_kms,1.36e-13,2.1662e+15,1851.05,2.1662e+15,6.80533e+15,2.1662e+15,1.36e-13,4.27257e-13,1.36e-13,1851.05,589.207,1851.05,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,161.958,1/alpha (err=18.19%),C1,Z=78 | Cov=136pm | geo=measured | IE=8.9587eV
Gold (Au Z=79),Map:     f+R->vx,vx_kms,1.36e-13,2.23072e+15,1906.18,2.23072e+15,7.008e+15,2.23072e+15,1.36e-13,4.27257e-13,1.36e-13,1906.18,606.755,1906.18,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,157.274,1/alpha (err=14.77%),C1,Z=79 | Cov=136pm | geo=measured | IE=9.2255eV
Mercury (Hg Z=80),Map:     f+R->vx,vx_kms,1.32e-13,2.52378e+15,2093.17,2.52378e+15,7.92868e+15,2.52378e+15,1.32e-13,4.1469e-13,1.32e-13,2093.17,666.277,2093.17,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,143.224,1/alpha (err=4.52%),C1,Z=80 | Cov=132pm | geo=measured | IE=10.4375eV
Thallium (Tl Z=81),Map:     f+R->vx,vx_kms,1.45e-13,1.47696e+15,1345.6,1.47696e+15,4.63999e+15,1.47696e+15,1.45e-13,4.55531e-13,1.45e-13,1345.6,428.317,1345.6,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,222.795,pi/(2alpha) (err=3.50%),C1,Z=81 | Cov=145pm | geo=measured | IE=6.1082eV
Lead (Pb Z=82),Map:     f+R->vx,vx_kms,1.46e-13,1.79335e+15,1645.12,1.79335e+15,5.63398e+15,1.79335e+15,1.46e-13,4.58673e-13,1.46e-13,1645.12,523.658,1645.12,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,182.231,pi/(2alpha) (err=15.34%),C1,Z=82 | Cov=146pm | geo=measured | IE=7.4167eV
Bismuth (Bi Z=83),Map:     f+R->vx,vx_kms,1.48e-13,1.76165e+15,1638.18,1.76165e+15,5.53439e+15,1.76165e+15,1.48e-13,4.64956e-13,1.48e-13,1638.18,521.448,1638.18,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,183.004,pi/(2alpha) (err=14.98%),C1,Z=83 | Cov=148pm | geo=measured | IE=7.2856eV
Polonium (Po Z=84),Map:     f+R->vx,vx_kms,1.4e-13,2.0345e+15,1789.64,2.0345e+15,6.39156e+15,2.0345e+15,1.4e-13,4.39823e-13,1.4e-13,1789.64,569.659,1789.64,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,167.516,pi/(2alpha) (err=22.18%),C1,Z=84 | Cov=140pm | geo=measured | IE=8.414eV
Astatine (At Z=85),Map:     f+R->vx,vx_kms,1.5e-13,2.25284e+15,2123.25,2.25284e+15,7.07751e+15,2.25284e+15,1.5e-13,4.71239e-13,1.5e-13,2123.25,675.852,2123.25,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,141.195,1/alpha (err=3.03%),C1,Z=85 | Cov=150pm | geo=measured | IE=9.317eV
Radon (Rn Z=86),Map:     f+R->vx,vx_kms,1.5e-13,2.59898e+15,2449.48,2.59898e+15,8.16492e+15,2.59898e+15,1.5e-13,4.71239e-13,1.5e-13,2449.48,779.693,2449.48,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,122.39,1/alpha (err=10.69%),C1,Z=86 | Cov=150pm | geo=measured | IE=10.7485eV
Francium (Fr Z=87),Map:     f+R->vx,vx_kms,2.6e-13,9.84774e+14,1608.76,9.84774e+14,3.09376e+15,9.84774e+14,2.6e-13,8.16814e-13,2.6e-13,1608.76,512.083,1608.76,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,186.351,pi/(2alpha) (err=13.43%),C1,Z=87 | Cov=260pm | geo=measured | IE=4.0727eV
Radium (Ra Z=88),Map:     f+R->vx,vx_kms,2.21e-13,1.27631e+15,1772.27,1.27631e+15,4.00965e+15,1.27631e+15,2.21e-13,6.94292e-13,2.21e-13,1772.27,564.13,1772.27,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,169.158,pi/(2alpha) (err=21.42%),C1,Z=88 | Cov=221pm | geo=measured | IE=5.2784eV
Actinium (Ac Z=89),Map:     f+R->vx,vx_kms,2.15e-13,1.2501e+15,1688.74,1.2501e+15,3.92731e+15,1.2501e+15,2.15e-13,6.75442e-13,2.15e-13,1688.74,537.543,1688.74,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,177.524,pi/(2alpha) (err=17.53%),C1,Z=89 | Cov=215pm | geo=measured | IE=5.17eV
Thorium (Th Z=90),Map:     f+R->vx,vx_kms,2.06e-13,1.52495e+15,1973.8,1.52495e+15,4.79078e+15,1.52495e+15,2.06e-13,6.47168e-13,2.06e-13,1973.8,628.281,1973.8,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,151.886,1/alpha (err=10.84%),C1,Z=90 | Cov=206pm | geo=measured | IE=6.3067eV
Protactinium (Pa Z=91),Map:     f+R->vx,vx_kms,2e-13,1.4242e+15,1789.7,1.4242e+15,4.47424e+15,1.4242e+15,2e-13,6.28319e-13,2e-13,1789.7,569.678,1789.7,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,167.51,pi/(2alpha) (err=22.18%),C1,Z=91 | Cov=200pm | geo=measured | IE=5.89eV
Uranium (U Z=92),Map:     f+R->vx,vx_kms,1.96e-13,1.49773e+15,1844.46,1.49773e+15,4.70525e+15,1.49773e+15,1.96e-13,6.15752e-13,1.96e-13,1844.46,587.109,1844.46,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,162.537,1/alpha (err=18.61%),C1,Z=92 | Cov=196pm | geo=measured | IE=6.1941eV
Neptunium (Np Z=93),Map:     f+R->vx,vx_kms,1.9e-13,1.51504e+15,1808.66,1.51504e+15,4.75964e+15,1.51504e+15,1.9e-13,5.96903e-13,1.9e-13,1808.66,575.715,1808.66,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,165.754,1/alpha (err=20.96%),C1,Z=93 | Cov=190pm | geo=measured | IE=6.2657eV
Plutonium (Pu Z=94),Map:     f+R->vx,vx_kms,1.87e-13,1.45708e+15,1712,1.45708e+15,4.57755e+15,1.45708e+15,1.87e-13,5.87478e-13,1.87e-13,1712,544.948,1712,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,175.112,pi/(2alpha) (err=18.65%),C1,Z=94 | Cov=187pm | geo=measured | IE=6.026eV
Americium (Am Z=95),Map:     f+R->vx,vx_kms,1.8e-13,1.44446e+15,1633.64,1.44446e+15,4.5379e+15,1.44446e+15,1.8e-13,5.65487e-13,1.8e-13,1633.64,520.005,1633.64,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,183.512,pi/(2alpha) (err=14.75%),C1,Z=95 | Cov=180pm | geo=measured | IE=5.9738eV
Curium (Cm Z=96),Map:     f+R->vx,vx_kms,1.69e-13,1.44874e+15,1538.35,1.44874e+15,4.55135e+15,1.44874e+15,1.69e-13,5.30929e-13,1.69e-13,1538.35,489.674,1538.35,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,194.879,pi/(2alpha) (err=9.47%),C1,Z=96 | Cov=169pm | geo=measured | IE=5.9915eV
Berkelium (Bk Z=97),Map:     f+R->vx,vx_kms,1.68e-13,1.49865e+15,1581.93,1.49865e+15,4.70813e+15,1.49865e+15,1.68e-13,5.27788e-13,1.68e-13,1581.93,503.545,1581.93,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,189.51,pi/(2alpha) (err=11.96%),C1,Z=97 | Cov=168pm | geo=measured | IE=6.1979eV
Californium (Cf Z=98),Map:     f+R->vx,vx_kms,1.68e-13,1.51891e+15,1603.32,1.51891e+15,4.77179e+15,1.51891e+15,1.68e-13,5.27788e-13,1.68e-13,1603.32,510.353,1603.32,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,186.982,pi/(2alpha) (err=13.13%),C1,Z=98 | Cov=168pm | geo=measured | IE=6.2817eV
Einsteinium (Es Z=99),Map:     f+R->vx,vx_kms,1.65e-13,1.53968e+15,1596.22,1.53968e+15,4.83704e+15,1.53968e+15,1.65e-13,5.18363e-13,1.65e-13,1596.22,508.094,1596.22,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,187.813,pi/(2alpha) (err=12.75%),C1,Z=99 | Cov=165pm | geo=measured | IE=6.3676eV
Fermium (Fm Z=100),Map:     f+R->vx,vx_kms,1.67e-13,1.57169e+15,1649.16,1.57169e+15,4.93762e+15,1.57169e+15,1.67e-13,5.24646e-13,1.67e-13,1649.16,524.945,1649.16,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,181.784,pi/(2alpha) (err=15.55%),C1,Z=100 | Cov=167pm | geo=measured | IE=6.5eV
Mendelevium (Md Z=101),Map:     f+R->vx,vx_kms,1.73e-13,1.59104e+15,1729.44,1.59104e+15,4.99839e+15,1.59104e+15,1.73e-13,5.43496e-13,1.73e-13,1729.44,550.499,1729.44,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,173.346,pi/(2alpha) (err=19.47%),C1,Z=101 | Cov=173pm | geo=measured | IE=6.58eV
Nobelium (No Z=102),Map:     f+R->vx,vx_kms,1.76e-13,1.60796e+15,1778.15,1.60796e+15,5.05156e+15,1.60796e+15,1.76e-13,5.5292e-13,1.76e-13,1778.15,566.003,1778.15,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,168.598,pi/(2alpha) (err=21.68%),C1,Z=102 | Cov=176pm | geo=measured | IE=6.65eV
Lawrencium (Lr Z=103),Map:     f+R->vx,vx_kms,1.61e-13,1.19932e+15,1213.23,1.19932e+15,3.76778e+15,1.19932e+15,1.61e-13,5.05796e-13,1.61e-13,1213.23,386.182,1213.23,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,247.104,2/alpha (err=9.84%),C1,Z=103 | Cov=161pm | geo=measured | IE=4.96eV
Rutherfordium (Rf Z=104),Map:     f+R->vx,vx_kms,1.57e-13,1.45563e+15,1435.92,1.45563e+15,4.573e+15,1.45563e+15,1.57e-13,4.9323e-13,1.57e-13,1435.92,457.068,1435.92,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,208.781,pi/(2alpha) (err=3.01%),C1+G1,Z=104 | Cov=157pm | geo=theoretical | IE=6.02eV
Dubnium (Db Z=105),Map:     f+R->vx,vx_kms,1.49e-13,1.64423e+15,1539.32,1.64423e+15,5.16551e+15,1.64423e+15,1.49e-13,4.68097e-13,1.49e-13,1539.32,489.981,1539.32,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,194.756,pi/(2alpha) (err=9.52%),C1+G1,Z=105 | Cov=149pm | geo=theoretical | IE=6.8eV
Seaborgium (Sg Z=106),Map:     f+R->vx,vx_kms,1.43e-13,1.88603e+15,1694.59,1.88603e+15,5.92514e+15,1.88603e+15,1.43e-13,4.49248e-13,1.43e-13,1694.59,539.405,1694.59,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,176.911,pi/(2alpha) (err=17.81%),C1+G1,Z=106 | Cov=143pm | geo=theoretical | IE=7.8eV
Bohrium (Bh Z=107),Map:     f+R->vx,vx_kms,1.41e-13,1.86185e+15,1649.47,1.86185e+15,5.84918e+15,1.86185e+15,1.41e-13,4.42965e-13,1.41e-13,1649.47,525.042,1649.47,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,181.751,pi/(2alpha) (err=15.57%),C1+G1,Z=107 | Cov=141pm | geo=theoretical | IE=7.7eV
