Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Nitrogen-14 (Z=7 A=14),Detect:  f+vx->R,R_km,1.88543e-18,2.53064e+22,299792,2.53064e+22,7.95025e+22,2.53064e+22,1.88543e-18,5.92325e-18,1.88543e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 A=14 | Rc=2.5582fm | src=Angeli2013 | BE=104.659MeV
Nitrogen-15 (Z=7 A=15),Detect:  f+vx->R,R_km,1.70858e-18,2.79258e+22,299792,2.79258e+22,8.77316e+22,2.79258e+22,1.70858e-18,5.36765e-18,1.70858e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 A=15 | Rc=2.601fm | src=Angeli2013 | BE=115.492MeV
Oxygen-16 (Z=8 A=16),Detect:  f+vx->R,R_km,1.54622e-18,3.08581e+22,299792,3.08581e+22,9.69437e+22,3.08581e+22,1.54622e-18,4.85759e-18,1.54622e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=16 | Rc=2.6991fm | src=Angeli2013 | BE=127.619MeV
Oxygen-17 (Z=8 A=17),Detect:  f+vx->R,R_km,1.49759e-18,3.18602e+22,299792,3.18602e+22,1.00092e+23,3.18602e+22,1.49759e-18,4.70482e-18,1.49759e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=17 | Rc=2.6931fm | src=Angeli2013 | BE=131.763MeV
Oxygen-18 (Z=8 A=18),Detect:  f+vx->R,R_km,1.41141e-18,3.38054e+22,299792,3.38054e+22,1.06203e+23,3.38054e+22,1.41141e-18,4.43409e-18,1.41141e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 A=18 | Rc=2.7726fm | src=Angeli2013 | BE=139.808MeV
Fluorine-19 (Z=9 A=19),Detect:  f+vx->R,R_km,1.33509e-18,3.57381e+22,299792,3.57381e+22,1.12275e+23,3.57381e+22,1.33509e-18,4.19429e-18,1.33509e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=9 A=19 | Rc=2.8976fm | src=Angeli2013 | BE=147.801MeV
Neon-20 (Z=10 A=20),Detect:  f+vx->R,R_km,1.22834e-18,3.88438e+22,299792,3.88438e+22,1.22031e+23,3.88438e+22,1.22834e-18,3.85895e-18,1.22834e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=20 | Rc=2.9936fm | src=Angeli2013 | BE=160.645MeV
Neon-21 (Z=10 A=21),Detect:  f+vx->R,R_km,1.17873e-18,4.04786e+22,299792,4.04786e+22,1.27167e+23,4.04786e+22,1.17873e-18,3.7031e-18,1.17873e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=21 | Rc=2.9587fm | src=Angeli2013 | BE=167.406MeV
Neon-22 (Z=10 A=22),Detect:  f+vx->R,R_km,1.11001e-18,4.29846e+22,299792,4.29846e+22,1.3504e+23,4.29846e+22,1.11001e-18,3.48721e-18,1.11001e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 A=22 | Rc=3.0055fm | src=Angeli2013 | BE=177.77MeV
Sodium-23 (Z=11 A=23),Detect:  f+vx->R,R_km,1.05769e-18,4.5111e+22,299792,4.5111e+22,1.4172e+23,4.5111e+22,1.05769e-18,3.32283e-18,1.05769e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=11 A=23 | Rc=2.9936fm | src=Angeli2013 | BE=186.564MeV
Magnesium-24 (Z=12 A=24),Detect:  f+vx->R,R_km,9.95309e-19,4.79383e+22,299792,4.79383e+22,1.50603e+23,4.79383e+22,9.95309e-19,3.12686e-18,9.95309e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=24 | Rc=3.057fm | src=Angeli2013 | BE=198.257MeV
Magnesium-25 (Z=12 A=25),Detect:  f+vx->R,R_km,9.59818e-19,4.9711e+22,299792,4.9711e+22,1.56172e+23,4.9711e+22,9.59818e-19,3.01536e-18,9.59818e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=25 | Rc=3.0364fm | src=Angeli2013 | BE=205.588MeV
Magnesium-26 (Z=12 A=26),Detect:  f+vx->R,R_km,9.10671e-19,5.23937e+22,299792,5.23937e+22,1.646e+23,5.23937e+22,9.10671e-19,2.86096e-18,9.10671e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 A=26 | Rc=3.0341fm | src=Angeli2013 | BE=216.683MeV
Aluminum-27 (Z=13 A=27),Detect:  f+vx->R,R_km,8.77196e-19,5.43932e+22,299792,5.43932e+22,1.70881e+23,5.43932e+22,8.77196e-19,2.75579e-18,8.77196e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=13 A=27 | Rc=3.061fm | src=Angeli2013 | BE=224.952MeV
Silicon-28 (Z=14 A=28),Detect:  f+vx->R,R_km,8.34233e-19,5.71944e+22,299792,5.71944e+22,1.79681e+23,5.71944e+22,8.34233e-19,2.62082e-18,8.34233e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=28 | Rc=3.1224fm | src=Angeli2013 | BE=236.537MeV
Silicon-29 (Z=14 A=29),Detect:  f+vx->R,R_km,8.05383e-19,5.92432e+22,299792,5.92432e+22,1.86118e+23,5.92432e+22,8.05383e-19,2.53019e-18,8.05383e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 A=29 | Rc=3.104fm | src=Angeli2013 | BE=245.01MeV
