Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,T1_Cl_Summary,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
PSR J1748-2446ad,Map:     f+R->vx,vx_kms,11,716,49486.4,716,2249.38,716,11,34.5575,11,49486.4,15752,49486.4,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,6.05808,2pi (err=3.58%),00,Fastest known pulsar - Map mode
Vela Pulsar,Map:     f+R->vx,vx_kms,10,11.195,703.403,11.195,35.1701,11.195,10,31.4159,10,703.403,223.9,703.403,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,426.203,unresolved nearest=2/alpha (55.5%),00,Map mode
Black Hole Sgr A* event horizon,Predict: R+vx->f,f_Hz,1.2e+07,0.00397612,299792,0.00397612,0.0124914,0.00397612,1.2e+07,3.76991e+07,1.2e+07,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Schwarzschild radius from M=4.1e6 solar masses
Black Hole M87* event horizon,Predict: R+vx->f,f_Hz,1.95e+10,2.44684e-06,299792,2.44684e-06,7.68699e-06,2.44684e-06,1.95e+10,6.12611e+10,1.95e+10,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,M=6.5e9 solar masses
Stellar BH 10 solar masses,Predict: R+vx->f,f_Hz,29.5,1617.41,299792,1617.41,5081.23,1617.41,29.5,92.677,29.5,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Schwarzschild for 10 Msun
Globular Cluster M13,Predict: R+vx->f,f_Hz,1.65e+15,2.89172e-11,299792,2.89172e-11,9.08462e-11,2.89172e-11,1.65e+15,5.18363e+15,1.65e+15,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Half-light radius ~55 ly
Open Cluster Pleiades,Predict: R+vx->f,f_Hz,5.7e+15,8.37078e-12,299792,8.37078e-12,2.62976e-11,8.37078e-12,5.7e+15,1.79071e+16,5.7e+15,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Tidal radius
Milky Way disk radius,Predict: R+vx->f,f_Hz,4.7e+17,1.01518e-13,299792,1.01518e-13,3.18928e-13,1.01518e-13,4.7e+17,1.47655e+18,4.7e+17,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~50000 ly
Milky Way halo coherence,Predict: R+vx->f,f_Hz,1.9e+18,2.51123e-14,299792,2.51123e-14,7.88928e-14,2.51123e-14,1.9e+18,5.96903e+18,1.9e+18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~200000 ly
M31 Andromeda disk,Predict: R+vx->f,f_Hz,1.04e+18,4.58783e-14,299792,4.58783e-14,1.44131e-13,4.58783e-14,1.04e+18,3.26726e+18,1.04e+18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~110000 ly
NGC 3198 disk,Predict: R+vx->f,f_Hz,1.2e+18,3.97612e-14,299792,3.97612e-14,1.24914e-13,3.97612e-14,1.2e+18,3.76991e+18,1.2e+18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Canonical SPARC galaxy
Local Group radius,Predict: R+vx->f,f_Hz,4.7e+19,1.01518e-15,299792,1.01518e-15,3.18928e-15,1.01518e-15,4.7e+19,1.47655e+20,4.7e+19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~5 Mly
Virgo Cluster scale,Predict: R+vx->f,f_Hz,2.4e+19,1.98806e-15,299792,1.98806e-15,6.24568e-15,1.98806e-15,2.4e+19,7.53982e+19,2.4e+19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~2.6 Mly virial
Local Supercluster (Laniakea),Predict: R+vx->f,f_Hz,2.4e+21,1.98806e-17,299792,1.98806e-17,6.24568e-17,1.98806e-17,2.4e+21,7.53982e+21,2.4e+21,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~250 Mly
Sloan Great Wall,Predict: R+vx->f,f_Hz,1.4e+22,3.4081e-18,299792,3.4081e-18,1.07069e-17,3.4081e-18,1.4e+22,4.39823e+22,1.4e+22,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~1.5 Bly cosmological structure
CMB Last-Scattering Surface,Predict: R+vx->f,f_Hz,4.4e+23,1.0844e-19,299792,1.0844e-19,3.40673e-19,1.0844e-19,4.4e+23,1.3823e+24,4.4e+23,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Comoving distance ~46 Bly
Hubble Horizon,Predict: R+vx->f,f_Hz,1.32e+23,3.61466e-19,299792,3.61466e-19,1.13558e-18,3.61466e-19,1.32e+23,4.1469e+23,1.32e+23,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,c/H0 with H0=67.4 km/s/Mpc
Cosmological a0 boundary,Map:     f+R->vx,vx_kms,4.46e+22,1.2e-10,3.36276e+13,1.2e-10,3.76991e-10,1.2e-10,4.46e+22,1.40115e+23,4.46e+22,3.36276e+13,1.0704e+13,3.36276e+13,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,8.91507e-09,unresolved nearest=alpha^3 (97.7%),00,Map mode: Tully-Fisher characteristic acceleration scale
Saturn,Predict: R+vx->f,f_Hz,58232,0.819368,299792,0.819368,2.57412,0.819368,58232,182941,58232,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Predict mode: planetary scale
Saturn rings outer,Predict: R+vx->f,f_Hz,140000,0.34081,299792,0.34081,1.07069,0.34081,140000,439823,140000,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Outer A ring edge
Pluto,Predict: R+vx->f,f_Hz,1188,40.1628,299792,40.1628,126.175,40.1628,1188,3732.21,1188,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Dwarf planet
Ceres,Predict: R+vx->f,f_Hz,469.7,101.583,299792,101.583,319.132,101.583,469.7,1475.61,469.7,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Largest asteroid
Phobos,Predict: R+vx->f,f_Hz,11.27,4233.67,299792,4233.67,13300.5,4233.67,11.27,35.4057,11.27,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Mars moon
ISS orbit altitude,Predict: R+vx->f,f_Hz,6779,7.03842,299792,7.03842,22.1118,7.03842,6779,21296.9,6779,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~408 km altitude from Earth center
Geostationary orbit,Predict: R+vx->f,f_Hz,42164,1.13162,299792,1.13162,3.55508,1.13162,42164,132462,42164,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,GEO altitude
Voyager 1 distance,Predict: R+vx->f,f_Hz,2.39e+10,1.99638e-06,299792,1.99638e-06,6.27181e-06,1.99638e-06,2.39e+10,7.50841e+10,2.39e+10,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~160 AU current
Alpha Centauri distance,Predict: R+vx->f,f_Hz,4e+13,1.19284e-09,299792,1.19284e-09,3.74741e-09,1.19284e-09,4e+13,1.25664e+14,4e+13,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~4.37 ly nearest star system
Galactic center distance,Predict: R+vx->f,f_Hz,2.46e+17,1.93957e-13,299792,1.93957e-13,6.09334e-13,1.93957e-13,2.46e+17,7.72832e+17,2.46e+17,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~26000 ly to Sgr A*
Solar mass Schwarzschild,Predict: R+vx->f,f_Hz,2.95,16174.1,299792,16174.1,50812.3,16174.1,2.95,9.2677,2.95,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Schwarzschild for 1 Msun
Earth mass Schwarzschild,Predict: R+vx->f,f_Hz,8.87e-06,5.37919e+09,299792,5.37919e+09,1.68992e+10,5.37919e+09,8.87e-06,2.78659e-05,8.87e-06,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Schwarzschild for 1 Mearth km units = 8.87e-3 m
Hydrogen Bohr radius substrate,Predict: R+vx->f,f_Hz,5.292e-14,9.01615e+17,299792,9.01615e+17,2.83251e+18,9.01615e+17,5.292e-14,1.66253e-13,5.292e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Atomic scale anchor for ladder cross-check
Proton charge radius substrate,Predict: R+vx->f,f_Hz,8.41e-19,5.67342e+22,299792,5.67342e+22,1.78236e+23,5.67342e+22,8.41e-19,2.64208e-18,8.41e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Sub-atomic anchor for ladder cross-check
